Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,AUT,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.363841785,0.324865115,0.31245844,0.376881098,0.581664479,0.559714086,0.603314153,0.487226206,0.456052396,0.62943666,0.673949316,0.610938791,0.504347296,0.481629138,0.465491462,0.463034754,0.257169276,0.215180779,0.220367781,0.28182284,0.26683229,0.170652102,0.127470664,0.124825008,0.124230025,0.11581562,0.140312287,0.126540752,0.086657681,0.092331669,0.149526501,0.153732618,0.155418517,0.153222955,0.12970419,0.164167152,0.202262417,0.230296408,0.25982979,0.169947981,0.215220189,0.255913557,0.256167402,0.236140418,0.201965606,0.135258394,0.126526832,
Azerbaijan,AZE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0642225,9.676612212,13.10237787,14.98822,15.20427851,17.41987617,22.55350553,18.5766563,4.477691372,16.00667784,35.37614534,27.68283247,25.57730649,27.36710633,29.27802901,38.82374689,44.67104285,39.01194629,38.28359168,26.60428586,30.56461772,35.33765746,31.74821676,26.48492057,22.18243504,13.34536551,20.47733552,
Burundi,BDI,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.751792437,5.38352192,6.30829521,8.735429768,8.534036762,9.728630933,8.015461905,12.50794917,11.65362756,8.383732032,8.978945968,7.578072227,10.81466424,6.54287638,6.778372236,5.936076665,8.57543185,9.326296883,10.38885781,10.65469447,13.37103247,12.68929711,14.02066839,14.23864858,17.06171534,23.96771545,28.37523271,23.62156395,27.01135591,15.41239214,15.05369193,18.65385479,24.11572919,40.55007109,30.59273187,26.47682002,24.11697093,32.5561152,33.39092724,31.35736928,24.13432175,23.99062698,16.91127899,16.06234689,14.32917067,16.07077699,17.50187723,
Belgium,BEL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.160600246,0.149467189,0.120501313,0.108412015,0.140503498,0.241418644,0.260728945,0.214116096,0.160308084,0.134146587,0.135283862,0.199127777,0.254259044,0.196017206,0.165261731,0.157496645,0.090240728,0.052937875,0.037695874,0.044748711,0.045295216,0.02924246,0.023333941,0.025200729,0.023138876,0.020983469,0.0224035,0.020179688,0.023157579,0.022599265,0.02450862,0.020900298,0.02359613,0.021630197,0.015782996,0.015599007,0.017297873,0.018811732,0.018228471,0.017373001,0.019200956,0.01913696,0.018561865,0.019261954,0.020150104,0.019704176,0.018713764,
Benin,BEN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.707341245,5.793022976,5.340842756,7.26543586,7.300531866,8.248116961,7.170673517,11.97544818,9.875061911,7.167350843,7.31176044,9.358093443,11.67108867,7.915589895,7.309433298,9.032672026,8.121683978,7.364137128,6.997088671,8.096390345,7.945226986,7.184054036,8.301625181,5.319043296,8.583268864,9.002059525,8.247019362,7.963726759,7.481087384,4.446545445,4.662561872,4.344587089,4.656502976,5.732605257,4.282284895,4.15270439,4.170646691,4.957317121,5.010157283,5.086227216,4.687139241,4.765919519,5.347293567,4.80463188,4.676130464,5.880480372,6.783360553,
Burkina Faso,BFA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.822118675,5.71704697,5.480045057,7.999922686,7.990754725,8.752817267,7.53389974,11.86026846,9.356163886,7.401511032,8.3272796,8.024745624,11.28259218,8.211244827,8.609791283,6.142971239,7.664660125,6.54823035,6.514322441,6.70020866,6.816242529,6.965802201,9.518522777,7.687431608,11.5547625,13.88471374,12.78603159,12.70913767,11.62520011,5.206951122,5.980081891,5.372926061,6.418504572,7.14924898,6.188891773,7.147797966,7.310120319,9.171170718,10.38074588,12.01889426,14.94194009,18.69645644,18.91723861,17.14596743,16.61828009,20.15282803,20.3593355,
Bangladesh,BGD,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.292927786,0.259880381,0.330446492,0.491559383,0.377003063,0.567715909,0.710635111,2.48794039,1.785346653,0.697267523,0.775597116,0.58508266,0.866880713,0.634814322,0.588765989,0.376051938,0.625749729,0.482838511,0.452380233,0.459751384,0.643905614,0.598509942,0.509150369,0.45864366,0.415478766,0.471255228,0.463750449,0.411479904,0.268958324,0.287192899,0.640101839,0.712913617,0.673923381,0.691679654,0.804908266,1.276574495,1.858831176,1.742225686,1.787623985,1.173681798,1.309144013,1.66007278,1.585692265,1.184488087,1.122781638,0.949108546,0.77174848,
Bulgaria,BGR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.799472952,1.943533593,2.049920152,1.494250379,1.293061822,1.666233198,0.821901415,0.557109865,2.973249059,2.729568524,1.120152014,1.673694619,1.590944736,1.253692644,1.672961646,1.743699773,2.017834033,1.714347761,0.880035781,1.117455872,1.356650112,1.250899653,0.921471337,0.885750655,1.867960096,1.744700693,2.839130583,2.520123777,2.732866145,1.562195353,2.519335965,2.821954615,2.325373214,1.769282945,1.590361121,1.456499337,1.330980955,
Bahrain,BHR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,18.79536172,12.31863282,9.114255115,10.18042441,9.207718786,10.40661814,6.635033558,6.952315162,5.426445181,7.489309305,9.487197331,5.093611607,4.774766358,4.680226009,3.840915582,4.008867865,4.38024477,4.534415955,2.77676791,3.587403736,4.929427201,4.656107485,4.065386109,4.115177545,4.433633205,5.79104216,6.390246526,5.946515412,6.975137549,5.511192877,5.136211121,7.373887669,8.611459358,9.052290335,8.20982639,4.760212219,4.412757437,
"Bahamas, The",BHS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.906985202,0.847335719,0.893551077,0.847806842,0.747448128,0.444608755,0.270890814,0.293562659,0.296956269,0.200212489,0.226219082,0.187229092,0.185349293,0.140886369,0.114903866,0.040841526,0.040423691,0.043034982,0.066143799,0.058369889,0.117517923,0.098538602,0.084737846,0.106734839,0.082394945,0.093975507,0.08009688,0.051938333,0.012534981,0.011420053,0.008355596,0.008584438,0.010243114,0.009086842,0.008067455,0.007896312,0.009429136,0.010030634,0.011251067,0.011002982,0.019521164,0.016952132,0.012102931,0.014268294,0.018004994,0.014949241,0.016266061,
